identifier,protein_families,pfam,pfam_clan,keyword,family,gene_name,protein_name,uniprot_kb_id
Q99615,,PF00226 (DnaJ)|83.0;PF13181 (TPR_8)|80.5;PF13414 (TPR_11)|63.0;PF13432 (TPR_16)|62.9,CL0020 (TPR);CL0392 (Chaperone-J),KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0143 (Chaperone);KW-0963 (Cytoplasm);KW-0206 (Cytoskeleton);KW-0903 (Direct protein sequencing);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0802 (TPR repeat),Hominidae,DNAJC7,DnaJ homolog subfamily C member 7,DNJC7_HUMAN
Q99619,SPSB family|IC,PF00622 (SPRY)|76.7;PF07525 (SOCS_box)|49.5,CL0004 (Concanavalin);CL0642 (SOCS_box),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0963 (Cytoplasm);KW-0945 (Host-virus interaction);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0833 (Ubl conjugation pathway),Hominidae,SPSB2,SPRY domain-containing SOCS box protein 2,SPSB2_HUMAN
Q99674,,,,KW-0025 (Alternative splicing);KW-0106 (Calcium);KW-0130 (Cell adhesion);KW-0131 (Cell cycle);KW-0338 (Growth arrest);KW-0479 (Metal-binding);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0964 (Secreted);KW-0732 (Signal),Hominidae,CGREF1,Cell growth regulator with EF hand domain protein 1,CGRE1_HUMAN
Q99675,,PF13920 (zf-C3HC4_3)|48.6,CL0229 (RING),KW-0002 (3D-structure);KW-0131 (Cell cycle);KW-0256 (Endoplasmic reticulum);KW-0338 (Growth arrest);KW-0479 (Metal-binding);KW-0539 (Nucleus);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0862 (Zinc);KW-0863 (Zinc-finger),Hominidae,CGRRF1,Cell growth regulator with RING finger domain protein 1,CGRF1_HUMAN
Q99689,zygin family|IC,PF07763 (FEZ)|286.6,,KW-0025 (Alternative splicing);KW-1003 (Cell membrane);KW-0175 (Coiled coil);KW-0963 (Cytoplasm);KW-0206 (Cytoskeleton);KW-1015 (Disulfide bond);KW-0472 (Membrane);KW-0493 (Microtubule);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0813 (Transport);KW-0832 (Ubl conjugation),Hominidae,FEZ1,Fasciculation and elongation protein zeta-1,FEZ1_HUMAN
Q99704,DOK family|IC,PF00169 (PH)|32.6;PF02174 (IRS)|88.1,CL0266 (PH),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0024 (Alternative initiation);KW-0025 (Alternative splicing);KW-0963 (Cytoplasm);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,DOK1,Docking protein 1,DOK1_HUMAN
Q99705,G-protein coupled receptor 1 family|SAM,PF00001 (7tm_1)|188.0,CL0192 (GPCR_A),KW-0002 (3D-structure);KW-1003 (Cell membrane);KW-1015 (Disulfide bond);KW-0297 (G-protein coupled receptor);KW-0325 (Glycoprotein);KW-0472 (Membrane);KW-1267 (Proteomics identification);KW-0675 (Receptor);KW-1185 (Reference proteome);KW-0807 (Transducer);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,MCHR1,Melanin-concentrating hormone receptor 1,MCHR1_HUMAN
Q99706,immunoglobulin superfamily|IC,PF00047 (ig)|104.2,CL0159 (E-set),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-1003 (Cell membrane);KW-1015 (Disulfide bond);KW-0967 (Endosome);KW-0325 (Glycoprotein);KW-0393 (Immunoglobulin domain);KW-0472 (Membrane);KW-1267 (Proteomics identification);KW-0675 (Receptor);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0732 (Signal);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,KIR2DL4,Killer cell immunoglobulin-like receptor 2DL4,KI2L4_HUMAN
Q99729,,PF00076 (RRM_1)|108.9;PF08143 (CBFNT)|59.8,CL0221 (RRM),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0963 (Cytoplasm);KW-0903 (Direct protein sequencing);KW-1017 (Isopeptide bond);KW-0488 (Methylation);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0694 (RNA-binding);KW-0832 (Ubl conjugation),Hominidae,HNRNPAB,Heterogeneous nuclear ribonucleoprotein A/B,ROAA_HUMAN
Q99733,nucleosome assembly protein (NAP) family|IC,PF00956 (NAP)|350.4,,KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0143 (Chaperone);KW-0158 (Chromosome);KW-0963 (Cytoplasm);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,NAP1L4,Nucleosome assembly protein 1-like 4,NP1L4_HUMAN
Q99735,MAPEG family|IC,PF01124 (MAPEG)|91.6,,KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0256 (Endoplasmic reticulum);KW-0434 (Leukotriene biosynthesis);KW-0443 (Lipid metabolism);KW-0456 (Lyase);KW-0472 (Membrane);KW-0492 (Microsome);KW-0560 (Oxidoreductase);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0808 (Transferase);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,MGST2,Microsomal glutathione S-transferase 2,MGST2_HUMAN
Q99759,protein kinase superfamily|IC,PF00069 (Pkinase)|232.2;PF00564 (PB1)|52.7,CL0016 (PKinase);CL0072 (Ubiquitin),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0067 (ATP-binding);KW-0225 (Disease variant);KW-0418 (Kinase);KW-0460 (Magnesium);KW-0479 (Metal-binding);KW-0547 (Nucleotide-binding);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0723 (Serine/threonine-protein kinase);KW-0808 (Transferase),Hominidae,MAP3K3,Mitogen-activated protein kinase kinase kinase 3,M3K3_HUMAN
Q99795,,PF07686 (V-set)|84.3;PF13927 (Ig_3)|57.4,CL0159 (E-set),KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-0393 (Immunoglobulin domain);KW-0449 (Lipoprotein);KW-0472 (Membrane);KW-0564 (Palmitate);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0732 (Signal);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,GPA33,Cell surface A33 antigen,GPA33_HUMAN
Q99828,,PF13499 (EF-hand_7)|47.2,CL0220 (EF_hand),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0037 (Angiogenesis);KW-0053 (Apoptosis);KW-0106 (Calcium);KW-0130 (Cell adhesion);KW-0131 (Cell cycle);KW-0132 (Cell division);KW-1003 (Cell membrane);KW-0966 (Cell projection);KW-0963 (Cytoplasm);KW-0206 (Cytoskeleton);KW-0221 (Differentiation);KW-0333 (Golgi apparatus);KW-0449 (Lipoprotein);KW-0460 (Magnesium);KW-0472 (Membrane);KW-0479 (Metal-binding);KW-0519 (Myristate);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0744 (Spermatogenesis),Hominidae,CIB1,Calcium and integrin-binding protein 1,CIB1_HUMAN
Q99836,,PF00531 (Death)|58.8;PF13676 (TIR_2)|50.9,CL0041 (Death);CL0173 (STIR),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0051 (Antiviral defense);KW-0963 (Cytoplasm);KW-0225 (Disease variant);KW-0391 (Immunity);KW-0395 (Inflammatory response);KW-0399 (Innate immunity);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0832 (Ubl conjugation),Hominidae,MYD88,Myeloid differentiation primary response protein MyD88,MYD88_HUMAN
Q99853,,PF00250 (Forkhead)|127.6,CL0123 (HTH),KW-0238 (DNA-binding);KW-0539 (Nucleus);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0804 (Transcription);KW-0805 (Transcription regulation),Hominidae,FOXB1,Forkhead box protein B1,FOXB1_HUMAN
Q99909,SSX family|IC,PF09514 (SSXRD)|46.6,,KW-0025 (Alternative splicing);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0804 (Transcription);KW-0805 (Transcription regulation),Hominidae,SSX3,Protein SSX3,SSX3_HUMAN
Q99943,1-acyl-sn-glycerol-3-phosphate acyltransferase family|IC,PF01553 (Acyltransferase)|136.3,CL0228 (Acyltransferase),KW-0012 (Acyltransferase);KW-0256 (Endoplasmic reticulum);KW-0444 (Lipid biosynthesis);KW-0443 (Lipid metabolism);KW-0472 (Membrane);KW-0594 (Phospholipid biosynthesis);KW-1208 (Phospholipid metabolism);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0732 (Signal);KW-0808 (Transferase);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,AGPAT1,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha,PLCA_HUMAN
Q99966,CITED family|IC,PF04487 (CITED)|108.7,,KW-0010 (Activator);KW-0025 (Alternative splicing);KW-0053 (Apoptosis);KW-0963 (Cytoplasm);KW-0217 (Developmental protein);KW-0221 (Differentiation);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0804 (Transcription);KW-0805 (Transcription regulation),Hominidae,CITED1,Cbp/p300-interacting transactivator 1,CITE1_HUMAN
Q99988,TGF-beta family|IC,PF00019 (TGF_beta)|85.8,CL0079 (Cystine-knot),KW-0002 (3D-structure);KW-0165 (Cleavage on pair of basic residues);KW-0202 (Cytokine);KW-0225 (Disease variant);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-0372 (Hormone);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0964 (Secreted);KW-0732 (Signal),Hominidae,GDF15,Growth/differentiation factor 15,GDF15_HUMAN
Q9BPU6,metallo-dependent hydrolases superfamily|IC,PF01979 (Amidohydro_1)|65.4,CL0036 (TIM_barrel),KW-0002 (3D-structure);KW-0963 (Cytoplasm);KW-0903 (Direct protein sequencing);KW-0225 (Disease variant);KW-0488 (Methylation);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,DPYSL5,Dihydropyrimidinase-related protein 5,DPYL5_HUMAN
Q9BPZ2,SPIN/STSY family|IC,PF02513 (Spin-Ssty)|249.5,CL0010 (SH3),KW-0002 (3D-structure);KW-0053 (Apoptosis);KW-0131 (Cell cycle);KW-0539 (Nucleus);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,SPIN2B,Spindlin-2B,SPI2B_HUMAN
Q9BQ51,immunoglobulin superfamily|IC,PF22705 (C2-set_3)|30.7,CL0159 (E-set),KW-0002 (3D-structure);KW-1064 (Adaptive immunity);KW-0025 (Alternative splicing);KW-1003 (Cell membrane);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-0391 (Immunity);KW-0393 (Immunoglobulin domain);KW-0472 (Membrane);KW-1267 (Proteomics identification);KW-0675 (Receptor);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0964 (Secreted);KW-0732 (Signal);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,PDCD1LG2,Programmed cell death 1 ligand 2,PD1L2_HUMAN
Q9BQ61,,,,KW-0007 (Acetylation);KW-0269 (Exonuclease);KW-0378 (Hydrolase);KW-0540 (Nuclease);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0694 (RNA-binding),Hominidae,TRIR,Telomerase RNA component interacting RNase,TRIR_HUMAN
Q9BQ69,MacroD-type family|IC,PF01661 (Macro)|150.9,CL0223 (MACRO),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0160 (Chromosomal rearrangement);KW-0227 (DNA damage);KW-0378 (Hydrolase);KW-1017 (Isopeptide bond);KW-0539 (Nucleus);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0832 (Ubl conjugation),Hominidae,MACROD1,ADP-ribose glycohydrolase MACROD1,MACD1_HUMAN
Q9BQ90,,PF01344 (Kelch_1)|137.8;PF24681 (Kelch_KLHDC2_KLHL20_DRC7)|258.6,CL0186 (Beta_propeller),KW-0002 (3D-structure);KW-0963 (Cytoplasm);KW-0880 (Kelch repeat);KW-0469 (Meiosis);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0833 (Ubl conjugation pathway),Hominidae,KLHDC3,Kelch domain-containing protein 3,KLDC3_HUMAN
Q9BQE9,BCL7 family|IC,PF04714 (BCL_N)|99.3,,KW-0020 (Allergen);KW-0025 (Alternative splicing);KW-0053 (Apoptosis);KW-0221 (Differentiation);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0856 (Williams-Beuren syndrome);KW-0879 (Wnt signaling pathway),Hominidae,BCL7B,B-cell CLL/lymphoma 7 protein family member B,BCL7B_HUMAN
Q9BQI0,,PF21008 (AIF-1)|252.9,CL0220 (EF_hand),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0009 (Actin-binding);KW-0025 (Alternative splicing);KW-0106 (Calcium);KW-1003 (Cell membrane);KW-0966 (Cell projection);KW-0963 (Cytoplasm);KW-0206 (Cytoskeleton);KW-0472 (Membrane);KW-0479 (Metal-binding);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat),Hominidae,AIF1L,Allograft inflammatory factor 1-like,AIF1L_HUMAN
Q9BQP7,MGME1 family|SAM,PF12705 (PDDEXK_1)|27.9,CL0236 (PDDEXK),KW-0002 (3D-structure);KW-0225 (Disease variant);KW-0227 (DNA damage);KW-0234 (DNA repair);KW-0269 (Exonuclease);KW-0378 (Hydrolase);KW-0496 (Mitochondrion);KW-0540 (Nuclease);KW-0597 (Phosphoprotein);KW-1274 (Primary mitochondrial disease);KW-0935 (Progressive external ophthalmoplegia);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,MGME1,Mitochondrial genome maintenance exonuclease 1,MGME1_HUMAN
Q9BQS2,synaptotagmin family|IC,PF00168 (C2)|120.4,CL0154 (C2),KW-0025 (Alternative splicing);KW-1003 (Cell membrane);KW-0472 (Membrane);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0735 (Signal-anchor);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,SYT15,Synaptotagmin-15,SYT15_HUMAN
Q9BQS7,multicopper oxidase family|IC,PF07731 (Cu-oxidase_2)|76.0;PF07732 (Cu-oxidase_3)|86.9,CL0026 (CU_oxidase),KW-0025 (Alternative splicing);KW-0106 (Calcium);KW-1003 (Cell membrane);KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-0406 (Ion transport);KW-0408 (Iron);KW-0410 (Iron transport);KW-0472 (Membrane);KW-0479 (Metal-binding);KW-0560 (Oxidoreductase);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0732 (Signal);KW-0915 (Sodium);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0813 (Transport),Hominidae,HEPH,Hephaestin,HEPH_HUMAN
Q9BQT9,calsyntenin family|IC,PF19699 (CLSTN_C)|403.1;PF28399 (Ig_CLSTN)|164.8,CL0159 (E-set),KW-0025 (Alternative splicing);KW-0106 (Calcium);KW-0130 (Cell adhesion);KW-1003 (Cell membrane);KW-0966 (Cell projection);KW-0256 (Endoplasmic reticulum);KW-0325 (Glycoprotein);KW-0333 (Golgi apparatus);KW-0551 (Lipid droplet);KW-0472 (Membrane);KW-0628 (Postsynaptic cell membrane);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0732 (Signal);KW-0770 (Synapse);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0832 (Ubl conjugation),Hominidae,CLSTN3,Calsyntenin-3,CSTN3_HUMAN
Q9BQW3,COE family|IC,PF01833 (TIG)|50.1;PF16422 (COE1_DBD)|480.5;PF16423 (COE1_HLH)|116.3,CL0159 (E-set),KW-0010 (Activator);KW-0025 (Alternative splicing);KW-0217 (Developmental protein);KW-0238 (DNA-binding);KW-0479 (Metal-binding);KW-0539 (Nucleus);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0804 (Transcription);KW-0805 (Transcription regulation);KW-0862 (Zinc);KW-0863 (Zinc-finger),Hominidae,EBF4,Transcription factor COE4,COE4_HUMAN
Q9BRG2,,PF00017 (SH2)|47.5,CL0541 (SH2-like),KW-0025 (Alternative splicing);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0727 (SH2 domain),Hominidae,SH2D3A,SH2 domain-containing protein 3A,SH23A_HUMAN
Q9BRK0,DP1 family|IC,PF03134 (TB2_DP1_HVA22)|103.8,,KW-0025 (Alternative splicing);KW-0225 (Disease variant);KW-0890 (Hereditary spastic paraplegia);KW-0472 (Membrane);KW-0523 (Neurodegeneration);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,REEP2,Receptor expression-enhancing protein 2,REEP2_HUMAN
Q9BRQ3,Nudix hydrolase family|IC,,,KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0378 (Hydrolase);KW-0460 (Magnesium);KW-0479 (Metal-binding);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,NUDT22,Uridine diphosphate glucose pyrophosphatase NUDT22,NUD22_HUMAN
Q9BRR3,PGAP4 family|IC,,,KW-1015 (Disulfide bond);KW-0325 (Glycoprotein);KW-0333 (Golgi apparatus);KW-0472 (Membrane);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0808 (Transferase);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,PGAP4,GPI-N-acetylgalactosamine transferase PGAP4,PGAP4_HUMAN
Q9BRT8,SIMIBI class G3E GTPase family|IC,PF02492 (cobW)|174.6;PF07683 (CobW_C)|61.7,CL0023 (P-loop_NTPase);CL0832 (CobW_C),KW-0025 (Alternative splicing);KW-0143 (Chaperone);KW-0342 (GTP-binding);KW-0378 (Hydrolase);KW-0479 (Metal-binding);KW-0547 (Nucleotide-binding);KW-0539 (Nucleus);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0862 (Zinc),Hominidae,ZNG1A,Zinc-regulated GTPase metalloprotein activator 1A,ZNG1A_HUMAN
Q9BRV3,SWEET sugar transporter family|IC,PF03083 (MtN3_slv)|202.4,CL0141 (MtN3-like),KW-0025 (Alternative splicing);KW-1003 (Cell membrane);KW-0333 (Golgi apparatus);KW-0472 (Membrane);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0762 (Sugar transport);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0813 (Transport),Hominidae,SLC50A1,Sugar transporter SWEET1,SWET1_HUMAN
Q9BS26,,PF00085 (Thioredoxin)|77.6;PF13848 (Thioredoxin_6)|184.6,CL0172 (Thioredoxin),KW-0002 (3D-structure);KW-0143 (Chaperone);KW-0903 (Direct protein sequencing);KW-1015 (Disulfide bond);KW-0256 (Endoplasmic reticulum);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0732 (Signal);KW-0346 (Stress response),Hominidae,ERP44,Endoplasmic reticulum resident protein 44,ERP44_HUMAN
Q9BS91,nucleotide-sugar transporter family|IC,PF04142 (Nuc_sug_transp)|172.5,CL0184 (DMT),KW-0050 (Antiport);KW-0325 (Glycoprotein);KW-0333 (Golgi apparatus);KW-0472 (Membrane);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0762 (Sugar transport);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0813 (Transport),Hominidae,SLC35A5,UDP-sugar transporter protein SLC35A5,S35A5_HUMAN
Q9BSA9,TMEM175 family|IC,PF06736 (TMEM175)|150.2,,KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0967 (Endosome);KW-0375 (Hydrogen ion transport);KW-0407 (Ion channel);KW-0406 (Ion transport);KW-0458 (Lysosome);KW-0472 (Membrane);KW-0523 (Neurodegeneration);KW-0907 (Parkinson disease);KW-0908 (Parkinsonism);KW-0597 (Phosphoprotein);KW-0630 (Potassium);KW-0631 (Potassium channel);KW-0633 (Potassium transport);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix);KW-0813 (Transport),Hominidae,TMEM175,Endosomal/lysosomal proton channel TMEM175,TM175_HUMAN
Q9BSE5,ureohydrolase superfamily|SAM,PF00491 (Arginase)|323.9,CL0302 (Arginase),KW-0007 (Acetylation);KW-0056 (Arginine metabolism);KW-0378 (Hydrolase);KW-0464 (Manganese);KW-0479 (Metal-binding);KW-0496 (Mitochondrion);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0809 (Transit peptide),Hominidae,AGMAT,"Guanidino acid hydrolase, mitochondrial",GDAH_HUMAN
Q9BSH4,TACO1 family|IC,PF01709 (Transcrip_reg)|137.0;PF20772 (TACO1_YebC_N)|78.3,,KW-0010 (Activator);KW-0175 (Coiled coil);KW-0431 (Leigh syndrome);KW-0496 (Mitochondrion);KW-1274 (Primary mitochondrial disease);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0810 (Translation regulation),Hominidae,TACO1,Translational activator of cytochrome c oxidase 1,TACO1_HUMAN
Q9BSI4,,PF14973 (TINF2_N)|191.8,,KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0025 (Alternative splicing);KW-0158 (Chromosome);KW-0225 (Disease variant);KW-1011 (Dyskeratosis congenita);KW-1017 (Isopeptide bond);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0779 (Telomere);KW-0832 (Ubl conjugation),Hominidae,TINF2,TERF1-interacting nuclear factor 2,TINF2_HUMAN
Q9BSJ2,TUBGCP family|IC,PF04130 (GCP_C_terminal)|299.9;PF17681 (GCP_N_terminal)|267.5,CL0540 (GCP),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0963 (Cytoplasm);KW-0206 (Cytoskeleton);KW-0225 (Disease variant);KW-0887 (Epilepsy);KW-0991 (Intellectual disability);KW-0451 (Lissencephaly);KW-0493 (Microtubule);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,TUBGCP2,Gamma-tubulin complex component 2,GCP2_HUMAN
Q9BSJ5,,PF28519 (MTNAP1_ZnF)|50.5,CL0361 (C2H2-zf),KW-0025 (Alternative splicing);KW-0472 (Membrane);KW-0496 (Mitochondrion);KW-0999 (Mitochondrion inner membrane);KW-1135 (Mitochondrion nucleoid);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0812 (Transmembrane);KW-1133 (Transmembrane helix),Hominidae,MTNAP1,Mitochondrial nucleoid-associated protein 1,CQ080_HUMAN
Q9BSJ6,,PF07326 (RCS1)|400.5,,KW-0025 (Alternative splicing);KW-0131 (Cell cycle);KW-0132 (Cell division);KW-0498 (Mitosis);KW-0539 (Nucleus);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat);KW-0832 (Ubl conjugation),Hominidae,PIMREG,Protein PIMREG,PIMRE_HUMAN
Q9BSW7,synaptotagmin family|IC,PF00168 (C2)|157.2,CL0154 (C2),KW-0002 (3D-structure);KW-0221 (Differentiation);KW-0472 (Membrane);KW-0597 (Phosphoprotein);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0677 (Repeat),Hominidae,SYT17,Synaptotagmin-17,SYT17_HUMAN
Q9BT17,TRAFAC class YlqF/YawG GTPase family|SAM,PF01926 (MMR_HSR1)|46.7,CL0023 (P-loop_NTPase),KW-0002 (3D-structure);KW-0025 (Alternative splicing);KW-0342 (GTP-binding);KW-0472 (Membrane);KW-0496 (Mitochondrion);KW-0999 (Mitochondrion inner membrane);KW-0547 (Nucleotide-binding);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0809 (Transit peptide);KW-0810 (Translation regulation),Hominidae,MTG1,Mitochondrial ribosome-associated GTPase 1,MTG1_HUMAN
Q9BT23,,PF00412 (LIM)|44.1,CL0839 (Tbcl_zf),KW-0002 (3D-structure);KW-0007 (Acetylation);KW-0963 (Cytoplasm);KW-0440 (LIM domain);KW-0479 (Metal-binding);KW-0539 (Nucleus);KW-1267 (Proteomics identification);KW-1185 (Reference proteome);KW-0862 (Zinc),Hominidae,LIMD2,LIM domain-containing protein 2,LIMD2_HUMAN
Q9BT40,inositol 1|IC,PF17751 (SKICH)|105.0;PF22669 (Exo_endo_phos2)|211.6,CL0159 (E-set);CL0530 (DNase_I-like),KW-0025 (Alternative splicing);KW-0898 (Cataract);KW-0912 (Congenital muscular dystrophy);KW-0963 (Cytoplasm);KW-0225 (Disease variant);KW-0256 (Endoplasmic reticulum);KW-0378 (Hydrolase);KW-0991 (Intellectual disability);KW-0443 (Lipid metabolism);KW-1267 (Proteomics identification);KW-1185 (Reference proteome),Hominidae,INPP5K,Inositol polyphosphate 5-phosphatase K,INP5K_HUMAN
